   0	4.992858	0.982226	-4.992260	1.011085
   1	4.992859	0.982239	-4.992261	1.011085
   2	4.992859	0.982234	-4.992261	1.011058
   3	4.992857	0.982221	-4.992259	1.011014
   4	4.992854	0.982173	-4.992257	1.010964
   5	4.992860	0.982118	-4.992263	1.010909
   6	4.992864	0.982057	-4.992267	1.010873
   7	4.992860	0.981982	-4.992262	1.010792
   8	4.992859	0.981898	-4.992261	1.010716
   9	4.992858	0.981807	-4.992260	1.010638
  10	4.992851	0.981705	-4.992254	1.010526
  11	4.992847	0.981584	-4.992250	1.010402
  12	4.992854	0.981481	-4.992257	1.010330
  13	4.992869	0.981437	-4.992272	1.010321
  14	4.992872	0.981413	-4.992274	1.010322
  15	4.992858	0.981400	-4.992261	1.010285
  16	4.992841	0.981347	-4.992244	1.010252
  17	4.992830	0.981292	-4.992233	1.010240
  18	4.992835	0.981317	-4.992237	1.010263
  19	4.992858	0.981411	-4.992261	1.010309
  20	4.992883	0.981497	-4.992285	1.010340
  21	4.992886	0.981521	-4.992288	1.010333
  22	4.992874	0.981467	-4.992277	1.010339
  23	4.992861	0.981403	-4.992264	1.010383
  24	4.992859	0.981423	-4.992262	1.010485
  25	4.992858	0.981471	-4.992261	1.010568
  26	4.992850	0.981515	-4.992253	1.010621
  27	4.992842	0.981557	-4.992244	1.010633
  28	4.992844	0.981610	-4.992247	1.010635
  29	4.992854	0.981609	-4.992256	1.010665
  30	4.992863	0.981595	-4.992266	1.010723
  31	4.992868	0.981586	-4.992270	1.010745
  32	4.992863	0.981613	-4.992266	1.010677
  33	4.992857	0.981643	-4.992260	1.010598
  34	4.992858	0.981668	-4.992260	1.010611
  35	4.992859	0.981660	-4.992262	1.010639
  36	4.992857	0.981583	-4.992260	1.010595
  37	4.992857	0.981489	-4.992259	1.010533
  38	4.992857	0.981460	-4.992259	1.010572
  39	4.992850	0.981491	-4.992253	1.010653
