0	 0.007846	0.497586	0.484765	 0.017649
1	 0.014794	0.483074	0.482775	 0.034151
2	-0.012408	0.503650	0.523768	-0.027418
3	-0.012193	0.503182	0.507936	-0.011117
4	-0.000861	0.489741	0.485819	 0.024440
5	-0.013968	0.526842	0.493468	-0.020309
6	-0.006767	0.493675	0.502489	 0.003836
7	-0.003401	0.491513	0.506141	 0.002346
8	-0.002382	0.497723	0.507040	-0.004764
9	 0.003400	0.514645	0.490202	-0.004847
10	 0.014031	0.483205	0.502937	 0.013858
11	 0.010803	0.507377	0.507254	-0.014631
12	 0.022207	0.505075	0.468956	 0.025968
13	 0.007643	0.501737	0.515585	-0.017322
14	 0.010401	0.488363	0.508783	 0.002853
15	 0.010305	0.505928	0.488340	 0.005731
16	 0.004479	0.499903	0.512444	-0.012346
17	 0.010999	0.506497	0.496841	-0.003338
18	 0.020858	0.492940	0.491199	 0.015861
19	 0.014856	0.504613	0.506573	-0.011186
20	 0.020040	0.490033	0.491857	 0.018110
21	 0.007113	0.497413	0.507820	-0.005233
22	-0.000581	0.502831	0.495246	 0.001923
23	-0.010198	0.506149	0.500088	-0.006237
24	-0.013578	0.495160	0.496963	 0.007877
25	-0.024835	0.510806	0.503614	-0.014419
26	-0.021673	0.489851	0.510247	-0.000098
27	-0.018413	0.506633	0.495048	-0.001681
28	-0.013472	0.501074	0.508345	-0.009418
29	 0.000887	0.489565	0.486010	 0.024425
30	-0.009180	0.495563	0.506932	-0.002495
31	-0.016752	0.517656	0.514514	-0.032170
32	 0.007846	0.497586	0.484765	 0.017649
