    1	 0.066	30.992	29.918	28.844	27.771	26.699	25.627	24.555	23.484	22.415	21.346	20.278	19.209	18.141	17.074	16.008	14.943	13.879	12.815	11.751
    2	 0.111	31.053	29.996	28.939	27.881	26.825	25.769	24.714	23.659	22.606	21.553	20.501	19.448	18.396	17.346	16.296	15.247	14.199	13.151	12.104
    3	 0.596	31.316	30.035	28.755	27.475	26.196	24.917	23.639	22.361	21.085	19.808	18.530	17.253	15.975	14.698	13.419	12.140	10.860	 9.579	 8.298
    4	 0.706	31.827	30.948	30.070	29.191	28.312	27.434	26.556	25.678	24.801	23.926	23.051	22.176	21.300	20.423	19.547	18.670	17.793	16.915	16.036
    5	 0.902	31.863	30.824	29.785	28.746	27.707	26.669	25.631	24.593	23.557	22.522	21.487	20.452	19.417	18.383	17.349	16.317	15.284	14.252	13.220
    6	 0.679	31.877	31.076	30.274	29.472	28.670	27.869	27.068	26.267	25.467	24.667	23.869	23.070	22.270	21.469	20.666	19.863	19.060	18.257	17.453
    7	 0.962	 0.058	31.153	30.248	29.343	28.439	27.534	26.630	25.727	24.823	23.922	23.021	22.119	21.217	20.315	19.413	18.510	17.608	16.704	15.799
    8	 0.798	31.809	30.820	29.832	28.843	27.854	26.866	25.878	24.890	23.904	22.919	21.934	20.948	19.963	18.978	17.994	17.010	16.026	15.042	14.058
    9	 0.207	31.285	30.363	29.442	28.520	27.600	26.679	25.759	24.839	23.920	23.003	22.086	21.169	20.251	19.333	18.417	17.500	16.584	15.666	14.748
   10	 0.134	31.020	29.907	28.794	27.681	26.569	25.457	24.346	23.235	22.127	21.018	19.910	18.801	17.693	16.586	15.480	14.374	13.269	12.164	11.059
   11	 0.071	31.175	30.279	29.384	28.488	27.594	26.699	25.805	24.911	24.019	23.127	22.236	21.345	20.453	19.561	18.670	17.780	16.889	15.997	15.104
   12	 0.482	31.723	30.964	30.205	29.445	28.686	27.928	27.169	26.411	25.653	24.896	24.140	23.383	22.625	21.865	21.104	20.343	19.582	18.821	18.061
   13	 0.107	30.904	29.702	28.499	27.297	26.096	24.895	23.693	22.494	21.295	20.096	18.897	17.697	16.498	15.299	14.099	12.899	11.699	10.497	 9.295
   14	 0.255	31.074	29.894	28.714	27.534	26.355	25.177	23.998	22.821	21.645	20.469	19.293	18.116	16.940	15.765	14.590	13.414	12.238	11.062	 9.885
