    1	 0.168	 1.049	 1.930	 2.812	 3.693	 4.576	 5.460	 6.344	 7.229	 8.115	 9.001	 9.888	10.775	11.662	12.550	13.438	14.324	15.211	16.097	16.982
    2	 0.562	 1.463	 2.364	 3.265	 4.166	 5.068	 5.971	 6.875	 7.779	 8.685	 9.591	10.497	11.404	12.312	13.220	14.128	15.036	15.945	16.852	17.759
    3	 0.353	 1.366	 2.378	 3.391	 4.404	 5.418	 6.433	 7.447	 8.462	 9.478	10.493	11.509	12.525	13.541	14.558	15.574	16.591	17.609	18.626	19.643
    4	 0.795	 1.732	 2.668	 3.605	 4.541	 5.479	 6.417	 7.355	 8.293	 9.233	10.172	11.112	12.052	12.993	13.934	14.876	15.818	16.760	17.702	18.644
    5	 0.067	 1.362	 2.657	 3.952	 5.248	 6.543	 7.838	 9.133	10.427	11.720	13.012	14.305	15.598	16.891	18.184	19.479	20.774	22.069	23.366	24.663
    6	 0.185	 1.118	 2.051	 2.985	 3.918	 4.853	 5.789	 6.725	 7.662	 8.600	 9.538	10.477	11.417	12.357	13.298	14.239	15.180	16.121	17.062	18.002
    7	 0.083	 1.199	 2.316	 3.432	 4.549	 5.667	 6.785	 7.903	 9.020	10.138	11.255	12.372	13.489	14.605	15.721	16.836	17.952	19.067	20.182	21.298
    8	 0.495	 1.586	 2.676	 3.767	 4.858	 5.949	 7.040	 8.131	 9.221	10.312	11.401	12.491	13.580	14.668	15.756	16.843	17.931	19.019	20.106	21.194
    9	 0.063	 1.028	 1.993	 2.958	 3.923	 4.889	 5.857	 6.824	 7.793	 8.762	 9.732	10.703	11.674	12.646	13.618	14.590	15.563	16.536	17.509	18.481
   10	 0.772	 1.722	 2.672	 3.622	 4.572	 5.523	 6.475	 7.426	 8.378	 9.331	10.283	11.236	12.190	13.143	14.098	15.052	16.007	16.963	17.918	18.872
   11	 0.400	 1.270	 2.140	 3.011	 3.882	 4.754	 5.627	 6.501	 7.375	 8.250	 9.126	10.002	10.879	11.756	12.634	13.511	14.388	15.264	16.140	17.014
   12	 0.011	 1.011	 2.011	 3.012	 4.012	 5.014	 6.017	 7.020	 8.024	 9.029	10.034	11.040	12.046	13.053	14.060	15.067	16.075	17.084	18.092	19.099
   13	 0.983	 2.037	 3.091	 4.145	 5.199	 6.253	 7.307	 8.360	 9.413	10.466	11.518	12.569	13.620	14.670	15.720	16.770	17.820	18.869	19.919	20.968
   14	 0.789	 1.660	 2.531	 3.402	 4.274	 5.146	 6.019	 6.893	 7.767	 8.643	 9.519	10.395	11.272	12.150	13.028	13.906	14.784	15.661	16.539	17.415
   15	 0.359	 1.317	 2.276	 3.234	 4.193	 5.153	 6.113	 7.074	 8.036	 8.999	 9.961	10.925	11.888	12.853	13.818	14.783	15.749	16.715	17.681	18.646
   16	 0.880	 1.860	 2.839	 3.819	 4.799	 5.779	 6.760	 7.740	 8.720	 9.701	10.681	11.662	12.643	13.624	14.605	15.586	16.568	17.550	18.531	19.513
   17	 0.308	 1.293	 2.279	 3.264	 4.250	 5.237	 6.224	 7.212	 8.200	 9.189	10.179	11.168	12.158	13.149	14.140	15.131	16.123	17.115	18.107	19.098
   18	 0.224	 1.434	 2.643	 3.853	 5.063	 6.273	 7.483	 8.692	 9.901	11.109	12.317	13.523	14.730	15.936	17.141	18.348	19.554	20.761	21.967	23.174
   19	 0.899	 1.663	 2.426	 3.190	 3.955	 4.720	 5.487	 6.254	 7.021	 7.789	 8.558	 9.327	10.095	10.864	11.633	12.401	13.169	13.935	14.703	15.470
   20	 0.180	 1.224	 2.268	 3.312	 4.356	 5.401	 6.447	 7.493	 8.539	 9.586	10.633	11.679	12.726	13.773	14.821	15.867	16.915	17.963	19.010	20.058
   21	 0.604	 1.542	 2.480	 3.418	 4.357	 5.296	 6.236	 7.176	 8.117	 9.059	10.001	10.943	11.886	12.830	13.774	14.718	15.663	16.608	17.553	18.497
   22	 0.772	 2.068	 3.365	 4.661	 5.958	 7.254	 8.549	 9.844	11.139	12.433	13.728	15.023	16.318	17.614	18.911	20.210	21.508	22.808	24.108	25.408
   23	 0.183	 1.490	 2.796	 4.103	 5.410	 6.717	 8.023	 9.328	10.633	11.938	13.242	14.546	15.851	17.156	18.461	19.768	21.075	22.383	23.692	25.002
   24	 0.503	 1.642	 2.781	 3.921	 5.060	 6.200	 7.339	 8.478	 9.617	10.754	11.891	13.028	14.164	15.299	16.434	17.569	18.704	19.838	20.972	22.107
   25	 0.968	 1.632	 2.296	 2.961	 3.625	 4.291	 4.959	 5.626	 6.293	 6.961	 7.628	 8.296	 8.963	 9.630	10.296	10.963	11.630	12.297	12.963	13.630
   26	 0.778	 1.790	 2.801	 3.812	 4.823	 5.835	 6.847	 7.859	 8.871	 9.883	10.894	11.906	12.917	13.929	14.940	15.951	16.963	17.975	18.987	19.999
   27	 0.802	 1.782	 2.763	 3.743	 4.723	 5.705	 6.686	 7.667	 8.649	 9.631	10.612	11.594	12.576	13.558	14.541	15.524	16.507	17.490	18.473	19.456
   28	 0.269	 1.250	 2.232	 3.213	 4.195	 5.179	 6.162	 7.147	 8.131	 9.117	10.103	11.089	12.076	13.063	14.051	15.039	16.027	17.016	18.005	18.993
   29	 0.378	 1.362	 2.346	 3.331	 4.315	 5.301	 6.287	 7.274	 8.261	 9.248	10.236	11.224	12.213	13.202	14.192	15.181	16.171	17.162	18.152	19.142
   30	 0.604	 1.524	 2.444	 3.364	 4.284	 5.205	 6.128	 7.050	 7.973	 8.897	 9.821	10.746	11.672	12.598	13.524	14.451	15.378	16.306	17.233	18.159
   31	 0.551	 1.517	 2.484	 3.450	 4.417	 5.384	 6.352	 7.321	 8.290	 9.259	10.229	11.199	12.169	13.140	14.112	15.083	16.055	17.028	18.000	18.972
   32	 0.918	 1.981	 3.044	 4.108	 5.171	 6.234	 7.297	 8.360	 9.422	10.484	11.545	12.606	13.666	14.725	15.784	16.843	17.902	18.961	20.020	21.079
   33	 0.574	 1.748	 2.923	 4.097	 5.272	 6.446	 7.620	 8.794	 9.967	11.139	12.310	13.481	14.652	15.822	16.992	18.162	19.332	20.502	21.673	22.843
   34	 0.550	 1.523	 2.497	 3.470	 4.443	 5.418	 6.393	 7.368	 8.344	 9.320	10.296	11.273	12.250	13.228	14.206	15.184	16.162	17.141	18.120	19.098
   35	 0.311	 1.033	 1.755	 2.478	 3.200	 3.924	 4.648	 5.373	 6.097	 6.822	 7.547	 8.272	 8.996	 9.720	10.443	11.167	11.891	12.615	13.339	14.063
   36	 0.500	 1.599	 2.699	 3.798	 4.898	 5.998	 7.098	 8.197	 9.297	10.396	11.494	12.592	13.689	14.786	15.882	16.978	18.075	19.170	20.266	21.362
   37	 0.588	 1.581	 2.575	 3.568	 4.562	 5.557	 6.552	 7.547	 8.542	 9.538	10.534	11.529	12.526	13.522	14.519	15.516	16.513	17.511	18.508	19.505
   38	 0.896	 1.900	 2.904	 3.908	 4.912	 5.917	 6.922	 7.926	 8.930	 9.934	10.938	11.942	12.946	13.950	14.954	15.957	16.961	17.966	18.969	19.973
   39	 0.797	 1.930	 3.064	 4.197	 5.330	 6.464	 7.597	 8.729	 9.861	10.992	12.122	13.252	14.381	15.510	16.637	17.766	18.894	20.022	21.150	22.278
   40	 0.457	 1.538	 2.620	 3.701	 4.783	 5.865	 6.947	 8.029	 9.111	10.193	11.274	12.354	13.435	14.515	15.595	16.674	17.754	18.833	19.912	20.991
   41	 0.253	 1.115	 1.978	 2.841	 3.704	 4.568	 5.434	 6.300	 7.166	 8.033	 8.901	 9.769	10.638	11.506	12.375	13.244	14.112	14.979	15.846	16.712
   42	 0.735	 1.733	 2.732	 3.730	 4.729	 5.728	 6.728	 7.727	 8.727	 9.727	10.726	11.726	12.726	13.726	14.726	15.726	16.726	17.727	18.727	19.728
   43	 0.672	 1.475	 2.278	 3.081	 3.885	 4.690	 5.496	 6.302	 7.109	 7.917	 8.725	 9.534	10.343	11.151	11.960	12.769	13.576	14.383	15.190	15.996
   44	 0.749	 2.008	 3.266	 4.524	 5.783	 7.041	 8.298	 9.555	10.811	12.067	13.323	14.579	15.835	17.091	18.348	19.607	20.865	22.125	23.385	24.646
   45	 0.096	 1.293	 2.491	 3.688	 4.885	 6.083	 7.281	 8.478	 9.675	10.871	12.067	13.262	14.456	15.650	16.843	18.037	19.231	20.424	21.618	22.812
   46	 0.226	 1.118	 2.010	 2.902	 3.794	 4.688	 5.583	 6.478	 7.373	 8.270	 9.167	10.065	10.963	11.862	12.761	13.660	14.559	15.457	16.355	17.251
   47	 0.898	 2.031	 3.164	 4.297	 5.429	 6.562	 7.694	 8.826	 9.957	11.087	12.216	13.345	14.473	15.601	16.728	17.856	18.984	20.111	21.238	22.366
